Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
hem_num,laboratory,Blood Work (Hematology),dropdown,How many times has the patient had Hematology tests within the last 6 months?,"1, 1 | 2, 2 | 3, 3",Select one,,,,,"[blood_work(2)] = ""1""",,,,,,
date_hem1,laboratory,,text,Date of first Hematology test,,YYYY-MM-DD,date_ymd,,,,[hem_num]='1' or [hem_num]='2' or [hem_num]='3',y,,,,,
serumiron1,laboratory,,text,Serum IRON from the first Hematology test,,"mcg/dL for US;mcmol/l for SI",,,,,[hem_num]='1' or [hem_num]='2' or [hem_num]='3',,,,,,
ferritin1,laboratory,,text,Ferritin from the first Hematology test,,"ng/mL for US;mcg/l for SI",,,,,[hem_num]='1' or [hem_num]='2' or [hem_num]='3',,,,,,
tibc1,laboratory,,text,TIBC (Total Iron Binding Capacity) from the first Hematology test,,"mcg/dL for US;mcmol/l for SI",,,,,[hem_num]='1' or [hem_num]='2' or [hem_num]='3',,,,,,
trans1,laboratory,,text,Transferrin from the first Hematology test,,"mg/dL for US;mcmol/l for SI",,,,,[hem_num]='1' or [hem_num]='2' or [hem_num]='3',,,,,,
wbc1,laboratory,,text,WBC (White Blood Cell Count) from the first Hematology test,,"10<span style=""font-size:75%;vertical-align:super;"">3</span>/uL for US; 10<span style=""font-size:75%;vertical-align:super;"">9</span>/L for SI ",,,,,[hem_num]='1' or [hem_num]='2' or [hem_num]='3',,,,,,
hb1,laboratory,,text,Hemoglobin from the first Hematology test,,"g/dL for US;g/L  for SI",,,,,[hem_num]='1' or [hem_num]='2' or [hem_num]='3',,,,,,
hct1,laboratory,,text,HCT (Hematocrit) from the first Hematology test,,"% for US;proportion of 1 for SI",,,,,[hem_num]='1' or [hem_num]='2' or [hem_num]='3',,,,,,
plt1,laboratory,,text,Plt Ct (Platelet count) from the first Hematology test,,"10<span style=""font-size:75%;vertical-align:super;"">3</span>/uL for US;  10<span style=""font-size:75%;vertical-align:super;"">9</span>/L for SI ",,,,,[hem_num]='1' or [hem_num]='2' or [hem_num]='3',,,,,,
mcv1,laboratory,,text,MCV (Mean Cell Volume) from the first Hematology test,,FL,,,,,[hem_num]='1' or [hem_num]='2' or [hem_num]='3',,,,,,
rdw1,laboratory,,text,RDW (Red blood cell dist.width) from the first Hematology test,,%,,,,,[hem_num]='1' or [hem_num]='2' or [hem_num]='3',,,,,,
date_hem2,laboratory,,text,Date of second Hematology test,,YYYY-MM-DD,date_ymd,,,,[hem_num]='2' or [hem_num]='3',y,,,,,
serumiron2,laboratory,,text,Serum IRON from the second Hematology test,,"mcg/dL for US;mcmol/l for SI",,,,,[hem_num]='2' or [hem_num]='3',,,,,,
ferritin2,laboratory,,text,Ferritin from the second Hematology test,,"ng/mL for US;mcg/l for SI",,,,,[hem_num]='2' or [hem_num]='3',,,,,,
tibc2,laboratory,,text,TIBC (Total Iron Binding Capacity) from the second Hematology test,,"mcg/dL for US;mcmol/l for SI",,,,,[hem_num]='2' or [hem_num]='3',,,,,,
trans2,laboratory,,text,Transferrin from the second Hematology test,,"mg/dL for US;mcmol/l for SI",,,,,[hem_num]='2' or [hem_num]='3',,,,,,
wbc2,laboratory,,text,WBC (White Blood Cell Count) from the second Hematology test,,"10<span style=""font-size:75%;vertical-align:super;"">3</span>/uL for US; 10<span style=""font-size:75%;vertical-align:super;"">9</span>/L for SI ",,,,,[hem_num]='2' or [hem_num]='3',,,,,,
hb2,laboratory,,text,Hemoglobin from the second Hematology test,,"g/dL for US;g/L  for SI",,,,,[hem_num]='2' or [hem_num]='3',,,,,,
hct2,laboratory,,text,HCT (Hematocrit) from the second Hematology test,,"% for US;proportion of 1 for SI",,,,,[hem_num]='2' or [hem_num]='3',,,,,,
plt2,laboratory,,text,Plt Ct (Platelet count) from the second Hematology test,,"10<span style=""font-size:75%;vertical-align:super;"">3</span>/uL for US;  10<span style=""font-size:75%;vertical-align:super;"">9</span>/L for SI ",,,,,[hem_num]='2' or [hem_num]='3',,,,,,
mcv2,laboratory,,text,MCV (Mean Cell Volume) from the second Hematology test,,FL,,,,,[hem_num]='2' or [hem_num]='3',,,,,,
rdw2,laboratory,,text,RDW (Red blood cell dist.width) from the second Hematology test,,%,,,,,[hem_num]='2' or [hem_num]='3',,,,,,
date_hem3,laboratory,,text,Date of third Hematology test,,YYYY-MM-DD,date_ymd,,,,[hem_num]='3',y,,,,,
serumiron3,laboratory,,text,Serum IRON from the third Hematology test,,"mcg/dL for US;mcmol/l for SI",,,,,[hem_num]='3',,,,,,
ferritin3,laboratory,,text,Ferritin from the third Hematology test,,"ng/mL for US;mcg/l for SI",,,,,[hem_num]='3',,,,,,
tibc3,laboratory,,text,TIBC (Total Iron Binding Capacity) from the third Hematology test,,"mcg/dL for US;mcmol/l for SI",,,,,[hem_num]='3',,,,,,
trans3,laboratory,,text,Transferrin from the third Hematology test,,"mg/dL for US;mcmol/l for SI",,,,,[hem_num]='3',,,,,,
wbc3,laboratory,,text,WBC (White Blood Cell Count) from the third Hematology test,,"10<span style=""font-size:75%;vertical-align:super;"">3</span>/uL for US; 10<span style=""font-size:75%;vertical-align:super;"">9</span>/L for SI ",,,,,[hem_num]='3',,,,,,
hb3,laboratory,,text,Hemoglobin from the third Hematology test,,"g/dL for US;g/L  for SI",,,,,[hem_num]='3',,,,,,
hct3,laboratory,,text,HCT (Hematocrit) from the third Hematology test,,"% for US;proportion of 1 for SI",,,,,[hem_num]='3',,,,,,
plt3,laboratory,,text,Plt Ct (Platelet count) from the third Hematology test,,"10<span style=""font-size:75%;vertical-align:super;"">3</span>/uL for US;  10<span style=""font-size:75%;vertical-align:super;"">9</span>/L for SI ",,,,,[hem_num]='3',,,,,,
mcv3,laboratory,,text,MCV (Mean Cell Volume) from the third Hematology test,,FL,,,,,[hem_num]='3',,,,,,
rdw3,laboratory,,text,RDW (Red blood cell dist.width) from the third Hematology test,,%,,,,,[hem_num]='3',,,,,,
inflamm_num,laboratory,Blood Work (Inflammatory/acute phase reactants (APR)),dropdown,How many times has the patient had Inflammatory/APR tests with the last 6 months?,"1, 1 | 2, 2 | 3, 3",Select one,,,,,"[blood_work(3)] = ""1""",,,,,,
date_inflamm1,laboratory,,text,Date of first Inflammatory/APR test,,YYYY-MM-DD,date_ymd,,,,[inflamm_num]='1' or [inflamm_num]='2' or [inflamm_num]='3',y,,,,,
esr1,laboratory,,text,ESR (Erythrocyte Sedimentation Rate) from the first Inflammatory/APR test,,mm/h,,,,,[inflamm_num]='1' or [inflamm_num]='2' or [inflamm_num]='3',,,,,,
crp1,laboratory,,text,CRP (C-Reactive Protein) from the first Inflammatory/APR test,,mg/dL,,,,,[inflamm_num]='1' or [inflamm_num]='2' or [inflamm_num]='3',,,,,,
date_inflamm2,laboratory,,text,Date of second Inflammatory/APR test,,YYYY-MM-DD,date_ymd,,,,[inflamm_num]='2' or [inflamm_num]='3',y,,,,,
esr2,laboratory,,text,ESR (Erythrocyte Sedimentation Rate) from the second Inflammatory/APR test,,mm/h,,,,,[inflamm_num]='2' or [inflamm_num]='3',,,,,,
crp2,laboratory,,text,CRP (C-Reactive Protein) from the second Inflammatory/APR test,,mg/dL,,,,,[inflamm_num]='2' or [inflamm_num]='3',,,,,,
date_inflamm3,laboratory,,text,Date of third Inflammatory/APR test,,YYYY-MM-DD,date_ymd,,,,[inflamm_num]='3',y,,,,,
esr3,laboratory,,text,ESR (Erythrocyte Sedimentation Rate) from the third Inflammatory/APR test,,mm/h,,,,,[inflamm_num]='3',,,,,,
crp3,laboratory,,text,CRP (C-Reactive Protein) from the third Inflammatory/APR test,,mg/dL,,,,,[inflamm_num]='3',,,,,,
wound_cult_num,laboratory,Wound Cultures,dropdown,How many wound culture VISITS has the patient had within the last 6 months?,"1, 1 | 2, 2 | 3, 3",Select one,,,,,"[lab_type(2)]=""1""",,,,,,
wound_cult1_date,laboratory,1st Wound Culture Visit,text,Date of 1st wound culture visit ,,YYYY-MM-DD,date_ymd,,,,"[wound_cult_num]=""1"" or [wound_cult_num]=""2"" or [wound_cult_num]=""3""",y,,,,,
wound_cult1_num,laboratory,,dropdown,1st visit: How many wound cultures were done?,"1, 1 | 2, 2 | 3, 3",Select one,,,,,"[wound_cult_num]=""1"" or [wound_cult_num]=""2"" or [wound_cult_num]=""3""",,,,,,
visit1_cult1_loc,laboratory,,radio,1st visit: Location of FIRST wound culture,"0, Head/neck | 1, Trunk (including genitalia or buttock) | 2, Upper extremity (including axillae) | 3, Lower extremity | 4, Mucosal",Select one,,,,,"[wound_cult1_num]=""1"" or [wound_cult1_num]=""2"" or [wound_cult1_num]=""3""",,,,,,
visit1_cult1_loc_other,laboratory,,text,1st visit: Specify the location of FIRST wound culture,,,,,,,"[wound_cult1_num]=""1"" or [wound_cult1_num]=""2"" or [wound_cult1_num]=""3""",,,,,,
visit1_cult1_method,laboratory,,radio,1st visit: Method of collection for FIRST wound culture,"0, Swab | 1, Tissue culture",Select one,,,,,"[wound_cult1_num]=""1"" or [wound_cult1_num]=""2"" or [wound_cult1_num]=""3""",,,,,,
visit1_res_cult1,laboratory,,checkbox,1st visit: Results of FIRST wound culture,"0, Negative (No growth or normal skin flora) | 1, Staph. aureus | 2, Pseudomonas aeruginosa | 3, Streptococcus (group A) | 4, E. coli | 5, Candida albicans | 7, Proteus | 6, Other",Check all that apply,,,,,"[wound_cult1_num]=""1"" or [wound_cult1_num]=""2"" or [wound_cult1_num]=""3""",,,,,,
visit1_res_cult1_other,laboratory,,notes,1st visit: Specify other results of FIRST wound culture,,,,,,,"([wound_cult1_num]='1' or [wound_cult1_num]='2' or [wound_cult1_num]='3') and [visit1_res_cult1(6)]=""1""",,,,,,
visit1_cult1_mupirocin,laboratory,,checkbox,1st visit: If the FIRST wound culture was Staph. aureus positive,"0, MSSA | 1, MRSA | 2, Mupirocin-sensitive | 3, Mupirocin-resistant | 4, Mupirocin-not tested",Check all that apply,,,,,"([wound_cult1_num]='1' or [wound_cult1_num]='2' or [wound_cult1_num]='3') and [visit1_res_cult1(1)]=""1""",,,,,,
visit1_cult2_loc,laboratory,,radio,1st visit: Location of SECOND wound culture,"0, Head/neck | 1, Trunk (including genitalia or buttock) | 2, Upper extremity (including axillae) | 3, Lower extremity | 4, Mucosal",Select one,,,,,[wound_cult1_num]='2' or [wound_cult1_num]='3',,,,,,
visit1_cult2_loc_other,laboratory,,text,1st visit: Specify the location of SECOND wound culture,,,,,,,[wound_cult1_num]='2' or [wound_cult1_num]='3',,,,,,
visit1_cult2_method,laboratory,,radio,1st visit: Method of collection for SECOND wound culture,"0, Swab | 1, Tissue culture",Select one,,,,,[wound_cult1_num]='2' or [wound_cult1_num]='3',,,,,,
visit1_res_cult2,laboratory,,checkbox,1st visit: Results of SECOND wound culture,"0, Negative (No growth or normal skin flora) | 1, Staph. aureus | 2, Pseudomonas aeruginosa | 3, Streptococcus (group A) | 4, E. coli | 5, Candida albicans | 7, Proteus | 6, Other",Check all that apply,,,,,[wound_cult1_num]='2' or [wound_cult1_num]='3',,,,,,
visit1_res_cult2_other,laboratory,,notes,1st visit: Specify other results of SECOND wound culture,,,,,,,"([wound_cult1_num]='2' or [wound_cult1_num]='3') and [visit1_res_cult2(6)]=""1""",,,,,,
visit1_cult2_mupirocin,laboratory,,checkbox,1st visit: If the SECOND wound culture was Staph. aureus positive,"0, MSSA | 1, MRSA | 2, Mupirocin-sensitive | 3, Mupirocin-resistant | 4, Mupirocin-not tested",Check all that apply,,,,,"([wound_cult1_num]='2' or [wound_cult1_num]='3') and [visit1_res_cult2(1)]=""1""",,,,,,
visit1_cult3_loc,laboratory,,radio,1st visit: Location of THIRD wound culture,"0, Head/neck | 1, Trunk (including genitalia or buttock) | 2, Upper extremity (including axillae) | 3, Lower extremity | 4, Mucosal",Select one,,,,,[wound_cult1_num]='3',,,,,,
visit1_cult3_loc_other,laboratory,,text,1st visit: Specify the location of THIRD wound culture,,,,,,,[wound_cult1_num]='3',,,,,,
visit1_cult3_method,laboratory,,radio,1st visit: Method of collection for THIRD wound culture,"0, Swab | 1, Tissue culture",Select one,,,,,[wound_cult1_num]='3',,,,,,
visit1_res_cult3,laboratory,,checkbox,1st visit: Results of THIRD wound culture,"0, Negative (No growth or normal skin flora) | 1, Staph. aureus | 2, Pseudomonas aeruginosa | 3, Streptococcus (group A) | 4, E. coli | 5, Candida albicans | 7, Proteus | 6, Other",Check all that apply,,,,,[wound_cult1_num]='3',,,,,,
visit1_res_cult3_other,laboratory,,notes,1st visit: Specify other results of THIRD wound culture,,,,,,,"([wound_cult1_num]='3') and [visit1_res_cult3(6)]=""1""",,,,,,
visit1_cult3_mupirocin,laboratory,,checkbox,1st visit: If the THIRD wound culture was Staph.aureus positive,"0, MSSA | 1, MRSA | 2, Mupirocin-sensitive | 3, Mupirocin-resistant | 4, Mupirocin-not tested",Check all that apply,,,,,"([wound_cult1_num]='3') and [visit1_res_cult3(1)]=""1""",,,,,,
wound_cult2_date,laboratory,2nd Wound Culture Visit,text,Date of 2nd wound culture visit ,,YYYY-MM-DD,date_ymd,,,,"[wound_cult_num]=""2"" or [wound_cult_num]=""3""",y,,,,,
wound_cult2_num,laboratory,,dropdown,2nd visit: How many wound cultures has the patient had?,"1, 1 | 2, 2 | 3, 3",Select one,,,,,"[wound_cult_num]=""2"" or [wound_cult_num]=""3""",,,,,,
visit2_cult1_loc,laboratory,,radio,2nd visit: Location of FIRST wound culture,"0, Head/neck | 1, Trunk (including genitalia or buttock) | 2, Upper extremity (including axillae) | 3, Lower extremity | 4, Mucosal",Select one,,,,,[wound_cult2_num]='1' or [wound_cult2_num]='2' or [wound_cult2_num]='3',,,,,,
visit2_cult1_loc_other,laboratory,,text,2nd visit: Specify the location of FIRST wound culture,,,,,,,[wound_cult2_num]='1' or [wound_cult2_num]='2' or [wound_cult2_num]='3',,,,,,
visit2_cult1_method,laboratory,,radio,2nd visit: Method of collection for FIRST wound culture,"0, Swab | 1, Tissue culture",Select one,,,,,[wound_cult2_num]='1' or [wound_cult2_num]='2' or [wound_cult2_num]='3',,,,,,
visit2_res_cult1,laboratory,,checkbox,2nd visit: Results of FIRST wound culture,"0, Negative (No growth or normal skin flora) | 1, Staph. aureus | 2, Pseudomonas aeruginosa | 3, Streptococcus (group A) | 4, E. coli | 5, Candida albicans |7, Proteus | 6, Other",Check all that apply,,,,,[wound_cult2_num]='1' or [wound_cult2_num]='2' or [wound_cult2_num]='3',,,,,,
visit2_res_cult1_other,laboratory,,notes,2nd visit: Specify other results of FIRST wound culture,,,,,,,"([wound_cult2_num]='1' or [wound_cult2_num]='2' or [wound_cult2_num]='3') and [visit2_res_cult1(6)]=""1""",,,,,,
visit2_cult1_mupirocin,laboratory,,checkbox,2nd visit: If the FIRST wound culture was Staph. aureus positive,"0, MSSA | 1, MRSA | 2, Mupirocin-sensitive | 3, Mupirocin-resistant | 4, Mupirocin-not tested",Check all that apply,,,,,"([wound_cult2_num]='1' or [wound_cult2_num]='2' or [wound_cult2_num]='3') and [visit2_res_cult1(1)]=""1""",,,,,,
visit2_cult2_loc,laboratory,,radio,2nd visit: Location of SECOND wound culture,"0, Head/neck | 1, Trunk (including genitalia or buttock) | 2, Upper extremity (including axillae) | 3, Lower extremity | 4, Mucosal",Select one,,,,,[wound_cult2_num]='2' or [wound_cult2_num]='3',,,,,,
visit2_cult2_loc_other,laboratory,,text,2nd visit: Specify the location of SECOND wound culture,,,,,,,[wound_cult2_num]='2' or [wound_cult2_num]='3',,,,,,
visit2_cult2_method,laboratory,,radio,2nd visit: Method of collection for SECOND wound culture,"0, Swab | 1, Tissue culture",Select one,,,,,[wound_cult2_num]='2' or [wound_cult2_num]='3',,,,,,
visit2_res_cult2,laboratory,,checkbox,2nd visit: Results of SECOND wound culture,"0, Negative (No growth or normal skin flora) | 1, Staph. aureus | 2, Pseudomonas aeruginosa | 3, Streptococcus (group A) | 4, E. coli | 5, Candida albicans | 7, Proteus | 6, Other",Check all that apply,,,,,[wound_cult2_num]='2' or [wound_cult2_num]='3',,,,,,
visit2_res_cult2_other,laboratory,,notes,2nd visit: Specify other results of SECOND wound culture,,,,,,,"([wound_cult2_num]='2' or [wound_cult2_num]='3') and [visit2_res_cult2(6)]=""1""",,,,,,
visit2_cult2_mupirocin,laboratory,,checkbox,2nd visit: If the SECOND wound culture was Staph. aureus positive,"0, MSSA | 1, MRSA | 2, Mupirocin-sensitive | 3, Mupirocin-resistant | 4, Mupirocin-not tested",Check all that apply,,,,,"([wound_cult2_num]='2' or [wound_cult2_num]='3') and [visit2_res_cult2(1)]=""1""",,,,,,
visit2_cult3_loc,laboratory,,radio,2nd visit: Location of THIRD wound culture,"0, Head/neck | 1, Trunk (including genitalia or buttock) | 2, Upper extremity (including axillae) | 3, Lower extremity | 4, Mucosal",Select one,,,,,[wound_cult2_num]='3',,,,,,
visit2_cult3_loc_other,laboratory,,text,2nd visit: Specify the location of THIRD wound culture,,,,,,,[wound_cult2_num]='3',,,,,,
visit2_cult3_method,laboratory,,radio,2nd visit: Method of collection for THIRD wound culture,"0, Swab | 1, Tissue culture",,,,,,[wound_cult2_num]='3',,,,,,
visit2_res_cult3,laboratory,,checkbox,2nd visit: Results of THIRD wound culture,"0, Negative (No growth or normal skin flora) | 1, Staph. aureus | 2, Pseudomonas aeruginosa | 3, Streptococcus (group A) | 4, E. coli | 5, Candida albicans |7, Proteus | 6, Other",Check all that apply,,,,,[wound_cult2_num]='3',,,,,,
visit2_res_cult3_other,laboratory,,notes,2nd visit: Specify other results of THIRD wound culture,,,,,,,"([wound_cult2_num]='3') and [visit2_res_cult3(6)]=""1""",,,,,,
visit2_cult3_mupirocin,laboratory,,checkbox,2nd visit: If the THIRD wound culture was Staph. aureus positive,"0, MSSA | 1, MRSA | 2, Mupirocin-sensitive | 3, Mupirocin-resistant | 4, Mupirocin-not tested",Check all that apply,,,,,"([wound_cult2_num]='3') and [visit2_res_cult3(1)]=""1""",,,,,,
wound_cult3_date,laboratory,3rd Wound Culture Visit,text,Date of 3rd wound culture visit ,,YYYY-MM-DD,date_ymd,,,,"[wound_cult_num]=""3""",y,,,,,
wound_cult3_num,laboratory,,dropdown,3rd visit: How many wound cultures has the patient had?,"1, 1 | 2, 2 | 3, 3",Select one,,,,,"[wound_cult_num]=""3""",,,,,,
visit3_cult1_loc,laboratory,,radio,3rd visit: Location of FIRST wound culture,"0, Head/neck | 1, Trunk (including genitalia or buttock) | 2, Upper extremity (including axillae) | 3, Lower extremity | 4, Mucosal",Select one,,,,,[wound_cult3_num]='1' or [wound_cult3_num]='2' or [wound_cult3_num]='3',,,,,,
visit3_cult1_loc_other,laboratory,,text,3rd visit: Specify the location of FIRST wound culture,,,,,,,[wound_cult3_num]='1' or [wound_cult3_num]='2' or [wound_cult3_num]='3',,,,,,
visit3_cult1_method,laboratory,,radio,3rd visit: Method of collection for FIRST wound culture,"0, Swab | 1, Tissue culture",Select one,,,,,[wound_cult3_num]='1' or [wound_cult3_num]='2' or [wound_cult3_num]='3',,,,,,
visit3_res_cult1,laboratory,,checkbox,3rd visit: Results of FIRST wound culture,"0, Negative (No growth or normal skin flora) | 1, Staph. aureus | 2, Pseudomonas aeruginosa | 3, Streptococcus (group A) | 4, E. coli | 5, Candida albicans | 7, Proteus | 6, Other",Check all that apply,,,,,[wound_cult3_num]='1' or [wound_cult3_num]='2' or [wound_cult3_num]='3',,,,,,
visit3_res_cult1_other,laboratory,,notes,3rd visit: Specify other results of FIRST wound culture,,,,,,,"([wound_cult3_num]='1' or [wound_cult3_num]='2' or [wound_cult3_num]='3') and [visit3_res_cult1(6)]=""1""",,,,,,
visit3_cult1_mupirocin,laboratory,,checkbox,3rd visit: If the FIRST wound culture was Staph. aureus positive,"0, MSSA | 1, MRSA | 2, Mupirocin-sensitive | 3, Mupirocin-resistant | 4, Mupirocin-not tested",Check all that apply,,,,,"([wound_cult3_num]='1' or [wound_cult3_num]='2' or [wound_cult3_num]='3') and [visit3_res_cult1(1)]=""1""",,,,,,
visit3_cult2_loc,laboratory,,radio,3rd visit: Location of SECOND wound culture,"0, Head/neck | 1, Trunk (including genitalia or buttock) | 2, Upper extremity (including axillae) | 3, Lower extremity | 4, Mucosal",Select one,,,,,[wound_cult3_num]='2' or [wound_cult3_num]='3',,,,,,
visit3_cult2_loc_other,laboratory,,text,3rd visit: Specify the location of SECOND wound culture,,,,,,,[wound_cult3_num]='2' or [wound_cult3_num]='3',,,,,,
visit3_cult2_method,laboratory,,radio,3rd visit: Method of collection for SECOND wound culture,"0, Swab | 1, Tissue culture",Select one,,,,,[wound_cult3_num]='2' or [wound_cult3_num]='3',,,,,,
visit3_res_cult2,laboratory,,checkbox,3rd visit: Results of SECOND wound culture,"0, Negative (No growth or normal skin flora) | 1, Staph. aureus | 2, Pseudomonas aeruginosa | 3, Streptococcus (group A) | 4, E. coli | 5, Candida albicans | 7, Proteus | 6, Other",Check all that apply,,,,,[wound_cult3_num]='2' or [wound_cult3_num]='3',,,,,,
visit3_res_cult2_other,laboratory,,notes,3rd visit: Specify other results of SECOND wound culture,,,,,,,"([wound_cult3_num]='2' or [wound_cult3_num]='3') and [visit3_res_cult2(6)]=""1""",,,,,,
visit3_cult2_mupirocin,laboratory,,checkbox,3rd visit: If the SECOND wound culture was Staph. aureus positive,"0, MSSA | 1, MRSA | 2, Mupirocin-sensitive | 3, Mupirocin-resistant | 4, Mupirocin-not tested",Check all that apply,,,,,"([wound_cult3_num]='2' or [wound_cult3_num]='3') and [visit3_res_cult2(1)]=""1""",,,,,,
visit3_cult3_loc,laboratory,,radio,3rd visit: Location of THIRD wound culture,"0, Head/neck | 1, Trunk (including genitalia or buttock) | 2, Upper extremity (including axillae) | 3, Lower extremity | 4, Mucosal",Select one,,,,,[wound_cult3_num]='3',,,,,,
visit3_cult3_loc_other,laboratory,,text,3rd visit: Specify the location of THIRD wound culture,,,,,,,[wound_cult3_num]='3',,,,,,
visit3_cult3_method,laboratory,,radio,3rd visit: Method of collection for THIRD wound culture,"0, Swab | 1, Tissue culture",Select one,,,,,[wound_cult3_num]='3',,,,,,
visit3_res_cult3,laboratory,,checkbox,3rd visit: Results of THIRD wound culture,"0, Negative (No growth or normal skin flora) | 1, Staph. aureus | 2, Pseudomonas aeruginosa | 3, Streptococcus (group A) | 4, E. coli | 5, Candida albicans | 7, Proteus | 6, Other",Check all that apply,,,,,[wound_cult3_num]='3',,,,,,
visit3_res_cult3_other,laboratory,,notes,3rd visit: Specify other results of THIRD wound culture,,,,,,,"([wound_cult3_num]='3') and [visit3_res_cult3(6)]=""1""",,,,,,
visit3_cult3_mupirocin,laboratory,,checkbox,3rd visit: If the THIRD wound culture was Staph. aureus positive,"0, MSSA | 1, MRSA | 2, Mupirocin-sensitive | 3, Mupirocin-resistant | 4, Mupirocin-not tested",Check all that apply,,,,,"([wound_cult3_num]='3') and [visit3_res_cult3(1)]=""1""",,,,,,
gi_study_num,laboratory,"GI Imaging Studies done within the last 6 months(including Stricture Evaluation, Fluoroscopy of G-tube, X-ray of Abdomen etc.)",dropdown,How many GI Imaging Studies has the patient had within the last 6 months?,"1, 1 | 2, 2 | 3, 3",Select one,,,,,"[lab_type(3)]=""1""",,,,,,
gi_study1_date,laboratory,1st GI Imaging Study,text,Date of first GI Imaging,,YYYY-MM-DD,date_ymd,,,,[gi_study_num]='1' or [gi_study_num]='2' or [gi_study_num]='3' ,y,,,,,
gi_study1_type,laboratory,,radio,1st GI Imaging: Type(s) of studies done,"0, Esophagram | 1, Barium Swallow | 2, Other",Select one,,,,,[gi_study_num]='1' or [gi_study_num]='2' or [gi_study_num]='3' ,,,,,,
gi_study1_other,laboratory,,notes,1st GI Imaging: Specify Other GI Studies done,,,,,,,"([gi_study_num]='1' or [gi_study_num]='2' or [gi_study_num]='3') and [gi_study1_type]=""2""",,,,,,
gi_study1_results,laboratory,,checkbox,1st GI Imaging: Results of studies,"0, Normal | 1, Esophageal stricture, upper third of esophagus | 2, Esophageal stricture, middle third of esophagus | 3, Esophageal stricture, lower third of esophagus | 4, Other",Check all that apply,,,,,[gi_study_num]='1' or [gi_study_num]='2' or [gi_study_num]='3' ,,,,,,
gi_study1_results_other,laboratory,,notes,1st GI Imaging: Specify Other results,,,,,,,"([gi_study_num]='1' or [gi_study_num]='2' or [gi_study_num]='3') and [gi_study1_results(4)]=""1"" ",,,,,,
gi_study2_date,laboratory,2nd GI Imaging Study,text,Date of second GI Imaging ,,YYYY-MM-DD,date_ymd,,,,[gi_study_num]='2' or [gi_study_num]='3' ,y,,,,,
gi_study2_type,laboratory,,radio,2nd GI Imaging: Type(s) of studies done,"0, Esophagram | 1, Barium Swallow | 2, Other",Select one,,,,,[gi_study_num]='2' or [gi_study_num]='3' ,,,,,,
gi_study2_other,laboratory,,notes,2nd GI Imaging: Specify Other GI Studies done,,,,,,,"([gi_study_num]='2' or [gi_study_num]='3') and [gi_study2_type]=""2""",,,,,,
gi_study2_results,laboratory,,checkbox,2nd GI Imaging: Results of studies,"0, Normal | 1, Esophageal stricture, upper third of esophagus | 2, Esophageal stricture, middle third of esophagus | 3, Esophageal stricture, lower third of esophagus | 4, Other",Check all that apply,,,,,[gi_study_num]='2' or [gi_study_num]='3' ,,,,,,
gi_study2_results_other,laboratory,,notes,2nd GI Imaging: Specify Other results,,,,,,,"([gi_study_num]='2' or [gi_study_num]='3') and [gi_study2_results(4)]=""1"" ",,,,,,
gi_study3_date,laboratory,3rd GI Imaging Study,text,Date of third GI Imaging,,YYYY-MM-DD,date_ymd,,,,[gi_study_num]='3' ,y,,,,,
gi_study3_type,laboratory,,radio,3rd GI Imaging: Type(s) of studies done,"0, Esophagram | 1, Barium Swallow | 2, Other",Select one,,,,,[gi_study_num]='3' ,,,,,,
gi_study3_other,laboratory,,notes,3rd GI Imaging: Specify Other GI Studies done,,,,,,,"[gi_study_num]='3' and [gi_study3_type]=""2""",,,,,,
gi_study3_results,laboratory,,checkbox,3rd GI Imaging: Results of studies,"0, Normal | 1, Esophageal stricture, upper third of esophagus | 2, Esophageal stricture, middle third of esophagus | 3, Esophageal stricture, lower third of esophagus | 4, Other",Check all that apply,,,,,[gi_study_num]='3' ,,,,,,
gi_study3_results_other,laboratory,,notes,3rd GI Imaging: Specify Other results,,,,,,,"[gi_study_num]='3' and [gi_study1_results(4)]=""1"" ",,,,,,
bone_studies,laboratory,"Bone Studies(Within the last 6 months)",checkbox,Type of Bone Studies patient has received within the last 6 months,"1, Radiograph (spine) | 2, DXA scan (spine) | 3, Other Bone Studies",,,,,,"[lab_type(4)]=""1""",,,,,,
date_radiograph,laboratory,,text,Date of Spine Radiograph,,YYYY-MM-DD,date_ymd,,,,"[bone_studies(1)] = ""1""",y,,,,,
results_radiograph,laboratory,,checkbox,Results of Spine Radiograph,"0, Normal | 1, Compression Fracture | 2, Osteopenia | 3, Other",Check all that apply,,,,,"[bone_studies(1)] = ""1""",,,,,,
spine_other,laboratory,,notes,Specify Other Spine Radiograph results,,,,,,,"[results_radiograph(3)]=""1""",,,,,,
date_dxa,laboratory,,text,Date of DXA scan (spine),,YYYY-MM-DD,date_ymd,,,,"[bone_studies(2)] = ""1""",y,,,,,
results_dxa,laboratory,,radio,Results of DXA scan,"0, Normalized Z or T score (-2) or lower | 1, Normalized Z or T score between (-2) to 0 | 2, Normalized Z or T score >0",Select one,,,,,"[bone_studies(2)] = ""1""",,,,,,
dxa_z,laboratory,,notes,"Specify Z score(For pediatric subjects)",,,,,,,"[bone_studies(2)] = ""1""",,,,,,
